"","BoardID","Date","Year","Resolution","Abundance","Date.decimal"
"2467","CA-4",2013-06-05,2013,"Weekly",0.49,2013.42465753425
"2487","CA-4",2013-06-12,2013,"Weekly",0.41,2013.44383561644
"2509","CA-4",2013-06-19,2013,"Weekly",0.36,2013.46301369863
"2530","CA-4",2013-06-26,2013,"Weekly",0.7,2013.48219178082
"2551","CA-4",2013-07-03,2013,"Weekly",1.03,2013.50136986301
"2572","CA-4",2013-07-10,2013,"Weekly",0.59,2013.52054794521
"2595","CA-4",2013-07-17,2013,"Weekly",0.3,2013.5397260274
"2620","CA-4",2013-07-24,2013,"Weekly",0.33,2013.55890410959
"2646","CA-4",2013-07-31,2013,"Weekly",0.27,2013.57808219178
"2669","CA-4",2013-08-07,2013,"Weekly",0.25,2013.59726027397
"2693","CA-4",2013-08-14,2013,"Weekly",0.4,2013.61643835616
"2715","CA-4",2013-08-21,2013,"Weekly",0.43,2013.63561643836
"2739","CA-4",2013-08-28,2013,"Weekly",0.4,2013.65479452055
"2756","CA-4",2013-09-04,2013,"Weekly",0.72,2013.67397260274
"2772","CA-4",2013-09-11,2013,"Weekly",0.9,2013.69315068493
"2786","CA-4",2013-09-18,2013,"Weekly",0.72,2013.71232876712
"2802","CA-4",2013-09-25,2013,"Weekly",0.56,2013.73150684932
"2814","CA-4",2013-10-02,2013,"Weekly",0.67,2013.75068493151
"2823","CA-4",2013-10-09,2013,"Weekly",0.63,2013.7698630137
"2827","CA-4",2013-10-16,2013,"Weekly",0.33,2013.78904109589
"2831","CA-4",2013-10-23,2013,"Weekly",0.21,2013.80821917808
"2835","CA-4",2013-10-30,2013,"Weekly",0.19,2013.82739726027
"2838","CA-4",2013-11-06,2013,"Weekly",0.24,2013.84657534247
"2841","CA-4",2013-11-13,2013,"Weekly",0.2,2013.86575342466
"2843","CA-4",2013-11-20,2013,"Weekly",0.12,2013.88493150685
"2845","CA-4",2013-11-27,2013,"Weekly",0.12,2013.90410958904
"2847","CA-4",2013-12-04,2013,"Weekly",0.07,2013.92328767123
"2878","CA-4",2014-04-03,2014,"Weekly",16,2014.25205479452
"2881","CA-4",2014-04-10,2014,"Weekly",21,2014.27123287671
"2883","CA-4",2014-04-15,2014,"Weekly",18,2014.28493150685
"2887","CA-4",2014-04-22,2014,"Weekly",19,2014.30410958904
"2891","CA-4",2014-04-29,2014,"Weekly",19,2014.32328767123
"2896","CA-4",2014-05-06,2014,"Weekly",13,2014.34246575342
"2905","CA-4",2014-05-13,2014,"Weekly",22,2014.36164383562
"2915","CA-4",2014-05-20,2014,"Weekly",16,2014.38082191781
"2922","CA-4",2014-05-27,2014,"Weekly",5,2014.4
"2940","CA-4",2014-06-03,2014,"Weekly",5,2014.41917808219
"2961","CA-4",2014-06-10,2014,"Weekly",10,2014.43835616438
"2980","CA-4",2014-06-17,2014,"Weekly",10,2014.45753424658
"3001","CA-4",2014-06-24,2014,"Weekly",5,2014.47671232877
"3023","CA-4",2014-07-01,2014,"Weekly",5,2014.49589041096
"3044","CA-4",2014-07-08,2014,"Weekly",6,2014.51506849315
"3064","CA-4",2014-07-15,2014,"Weekly",7,2014.53424657534
"3087","CA-4",2014-07-22,2014,"Weekly",6,2014.55342465753
"3111","CA-4",2014-07-29,2014,"Weekly",5,2014.57260273973
"3134","CA-4",2014-08-05,2014,"Weekly",7,2014.59178082192
"3157","CA-4",2014-08-12,2014,"Weekly",10,2014.61095890411
"3180","CA-4",2014-08-19,2014,"Weekly",12,2014.6301369863
"3205","CA-4",2014-08-26,2014,"Weekly",8,2014.64931506849
"3224","CA-4",2014-09-02,2014,"Weekly",10,2014.66849315068
"3245","CA-4",2014-09-09,2014,"Weekly",14,2014.68767123288
"3262","CA-4",2014-09-16,2014,"Weekly",13,2014.70684931507
"3277","CA-4",2014-09-23,2014,"Weekly",10,2014.72602739726
"3289","CA-4",2014-09-30,2014,"Weekly",28,2014.74520547945
"3301","CA-4",2014-10-07,2014,"Weekly",47,2014.76438356164
"3310","CA-4",2014-10-14,2014,"Weekly",46,2014.78356164384
"3318","CA-4",2014-10-21,2014,"Weekly",46,2014.80273972603
"3323","CA-4",2014-10-28,2014,"Weekly",44,2014.82191780822
"3359","CA-4",2015-04-16,2015,"Weekly",21,2015.28767123288
"3362","CA-4",2015-04-23,2015,"Weekly",18,2015.30684931507
"3365","CA-4",2015-04-30,2015,"Weekly",14,2015.32602739726
"3369","CA-4",2015-05-07,2015,"Weekly",6,2015.34520547945
"3377","CA-4",2015-05-14,2015,"Weekly",1,2015.36438356164
"3384","CA-4",2015-05-21,2015,"Weekly",2,2015.38356164384
"3393","CA-4",2015-05-28,2015,"Weekly",9,2015.40273972603
"3409","CA-4",2015-06-04,2015,"Weekly",11,2015.42191780822
"3426","CA-4",2015-06-11,2015,"Weekly",12,2015.44109589041
"3444","CA-4",2015-06-18,2015,"Weekly",9,2015.4602739726
"3465","CA-4",2015-06-25,2015,"Weekly",9,2015.47945205479
"3489","CA-4",2015-07-02,2015,"Weekly",13,2015.49863013699
"3512","CA-4",2015-07-09,2015,"Weekly",4,2015.51780821918
"3537","CA-4",2015-07-16,2015,"Weekly",8,2015.53698630137
"3562","CA-4",2015-07-23,2015,"Weekly",8,2015.55616438356
"3587","CA-4",2015-07-30,2015,"Weekly",8,2015.57534246575
"3612","CA-4",2015-08-06,2015,"Weekly",9,2015.59452054795
"3637","CA-4",2015-08-13,2015,"Weekly",8,2015.61369863014
"3662","CA-4",2015-08-20,2015,"Weekly",9,2015.63287671233
"3685","CA-4",2015-08-27,2015,"Weekly",31,2015.65205479452
"3707","CA-4",2015-09-03,2015,"Weekly",43,2015.67123287671
"3728","CA-4",2015-09-10,2015,"Weekly",39,2015.6904109589
"3748","CA-4",2015-09-17,2015,"Weekly",31,2015.7095890411
"3765","CA-4",2015-09-24,2015,"Weekly",131,2015.72876712329
"3777","CA-4",2015-10-01,2015,"Weekly",148,2015.74794520548
"3786","CA-4",2015-10-08,2015,"Weekly",71,2015.76712328767
"3794","CA-4",2015-10-15,2015,"Weekly",111,2015.78630136986
"3798","CA-4",2015-10-22,2015,"Weekly",150,2015.80547945205
"3802","CA-4",2015-10-29,2015,"Weekly",267,2015.82465753425
"2464","CO-4",2013-06-04,2013,"Weekly",572,2013.42191780822
"2484","CO-4",2013-06-11,2013,"Weekly",1262,2013.44109589041
"2488","CO-4",2013-06-12,2013,"Weekly",6,2013.44383561644
"2505","CO-4",2013-06-18,2013,"Weekly",546,2013.4602739726
"2510","CO-4",2013-06-19,2013,"Weekly",2,2013.46301369863
"2527","CO-4",2013-06-25,2013,"Weekly",690,2013.47945205479
"2531","CO-4",2013-06-26,2013,"Weekly",31,2013.48219178082
"2548","CO-4",2013-07-02,2013,"Weekly",681,2013.49863013699
"2552","CO-4",2013-07-03,2013,"Weekly",29,2013.50136986301
"2568","CO-4",2013-07-09,2013,"Weekly",1269,2013.51780821918
"2573","CO-4",2013-07-10,2013,"Weekly",38,2013.52054794521
"2591","CO-4",2013-07-16,2013,"Weekly",900,2013.53698630137
"2596","CO-4",2013-07-17,2013,"Weekly",53,2013.5397260274
"2616","CO-4",2013-07-23,2013,"Weekly",2278,2013.55616438356
"2621","CO-4",2013-07-24,2013,"Weekly",41,2013.55890410959
"2630","CO-4",2013-07-27,2013,"Weekly",1923,2013.56712328767
"2642","CO-4",2013-07-30,2013,"Weekly",603,2013.57534246575
"2647","CO-4",2013-07-31,2013,"Weekly",11,2013.57808219178
"2665","CO-4",2013-08-06,2013,"Weekly",1502,2013.59452054795
"2670","CO-4",2013-08-07,2013,"Weekly",43,2013.59726027397
"2689","CO-4",2013-08-13,2013,"Weekly",1253,2013.61369863014
"2694","CO-4",2013-08-14,2013,"Weekly",54,2013.61643835616
"2713","CO-4",2013-08-20,2013,"Weekly",876,2013.63287671233
"2716","CO-4",2013-08-21,2013,"Weekly",15,2013.63561643836
"2735","CO-4",2013-08-27,2013,"Weekly",346,2013.65205479452
"2740","CO-4",2013-08-28,2013,"Weekly",11,2013.65479452055
"2941","CO-4",2014-06-03,2014,"Weekly",531,2014.41917808219
"2944","CO-4",2014-06-04,2014,"Weekly",11,2014.42191780822
"2981","CO-4",2014-06-17,2014,"Weekly",2425,2014.45753424658
"2984","CO-4",2014-06-18,2014,"Weekly",6,2014.4602739726
"3002","CO-4",2014-06-24,2014,"Weekly",2359,2014.47671232877
"3005","CO-4",2014-06-25,2014,"Weekly",43,2014.47945205479
"3024","CO-4",2014-07-01,2014,"Weekly",645,2014.49589041096
"3027","CO-4",2014-07-02,2014,"Weekly",22,2014.49863013699
"3045","CO-4",2014-07-08,2014,"Weekly",1949,2014.51506849315
"3048","CO-4",2014-07-09,2014,"Weekly",35,2014.51780821918
"3065","CO-4",2014-07-15,2014,"Weekly",1498,2014.53424657534
"3069","CO-4",2014-07-16,2014,"Weekly",60,2014.53698630137
"3088","CO-4",2014-07-22,2014,"Weekly",679,2014.55342465753
"3092","CO-4",2014-07-23,2014,"Weekly",33,2014.55616438356
"3112","CO-4",2014-07-29,2014,"Weekly",1623,2014.57260273973
"3117","CO-4",2014-07-30,2014,"Weekly",13,2014.57534246575
"3135","CO-4",2014-08-05,2014,"Weekly",629,2014.59178082192
"3138","CO-4",2014-08-06,2014,"Weekly",16,2014.59452054795
"3161","CO-4",2014-08-14,2014,"Weekly",1,2014.61643835616
"3181","CO-4",2014-08-19,2014,"Weekly",1486,2014.6301369863
"3405","CO-4",2015-06-02,2015,"Weekly",1819,2015.41643835616
"3423","CO-4",2015-06-09,2015,"Weekly",1600,2015.43561643836
"3459","CO-4",2015-06-23,2015,"Weekly",3415,2015.47397260274
"3482","CO-4",2015-06-30,2015,"Weekly",5997,2015.49315068493
"3485","CO-4",2015-07-01,2015,"Weekly",7,2015.49589041096
"3505","CO-4",2015-07-07,2015,"Weekly",1676,2015.51232876712
"3508","CO-4",2015-07-08,2015,"Weekly",12,2015.51506849315
"3530","CO-4",2015-07-14,2015,"Weekly",908,2015.53150684932
"3533","CO-4",2015-07-15,2015,"Weekly",7,2015.53424657534
"3555","CO-4",2015-07-21,2015,"Weekly",914,2015.55068493151
"3558","CO-4",2015-07-22,2015,"Weekly",21,2015.55342465753
"3580","CO-4",2015-07-28,2015,"Weekly",823,2015.5698630137
"3583","CO-4",2015-07-29,2015,"Weekly",7,2015.57260273973
"3605","CO-4",2015-08-04,2015,"Weekly",351,2015.58904109589
"3608","CO-4",2015-08-05,2015,"Weekly",9,2015.59178082192
"3630","CO-4",2015-08-11,2015,"Weekly",734,2015.60821917808
"3633","CO-4",2015-08-12,2015,"Weekly",5,2015.61095890411
"3655","CO-4",2015-08-18,2015,"Weekly",279,2015.62739726027
"3658","CO-4",2015-08-19,2015,"Weekly",7,2015.6301369863
"1062","CO-7",2009-05-26,2009,"Weekly",17,2009.39726027397
"1063","CO-7",2009-05-27,2009,"Weekly",104,2009.4
"1065","CO-7",2009-05-28,2009,"Weekly",132,2009.40273972603
"1066","CO-7",2009-05-29,2009,"Weekly",31,2009.40547945205
"1072","CO-7",2009-06-04,2009,"Weekly",70,2009.42191780822
"1073","CO-7",2009-06-05,2009,"Weekly",388,2009.42465753425
"1078","CO-7",2009-06-09,2009,"Weekly",611,2009.43561643836
"1079","CO-7",2009-06-10,2009,"Weekly",430,2009.43835616438
"1081","CO-7",2009-06-11,2009,"Weekly",28,2009.44109589041
"1082","CO-7",2009-06-12,2009,"Weekly",69,2009.44383561644
"1089","CO-7",2009-06-16,2009,"Weekly",674,2009.45479452055
"1090","CO-7",2009-06-17,2009,"Weekly",1365,2009.45753424658
"1092","CO-7",2009-06-18,2009,"Weekly",292,2009.4602739726
"1093","CO-7",2009-06-19,2009,"Weekly",178,2009.46301369863
"1100","CO-7",2009-06-23,2009,"Weekly",5607,2009.47397260274
"1101","CO-7",2009-06-24,2009,"Weekly",2386,2009.47671232877
"1103","CO-7",2009-06-25,2009,"Weekly",762,2009.47945205479
"1104","CO-7",2009-06-26,2009,"Weekly",305,2009.48219178082
"1112","CO-7",2009-06-30,2009,"Weekly",6163,2009.49315068493
"1113","CO-7",2009-07-01,2009,"Weekly",3219,2009.49589041096
"1115","CO-7",2009-07-02,2009,"Weekly",525,2009.49863013699
"1116","CO-7",2009-07-03,2009,"Weekly",464,2009.50136986301
"1123","CO-7",2009-07-07,2009,"Weekly",2163,2009.51232876712
"1124","CO-7",2009-07-08,2009,"Weekly",5490,2009.51506849315
"1126","CO-7",2009-07-09,2009,"Weekly",3362,2009.51780821918
"1127","CO-7",2009-07-10,2009,"Weekly",887,2009.52054794521
"1135","CO-7",2009-07-14,2009,"Weekly",6925,2009.53150684932
"1136","CO-7",2009-07-15,2009,"Weekly",4182,2009.53424657534
"1138","CO-7",2009-07-16,2009,"Weekly",1182,2009.53698630137
"1139","CO-7",2009-07-17,2009,"Weekly",849,2009.5397260274
"1147","CO-7",2009-07-21,2009,"Weekly",5208,2009.55068493151
"1148","CO-7",2009-07-22,2009,"Weekly",2539,2009.55342465753
"1150","CO-7",2009-07-23,2009,"Weekly",981,2009.55616438356
"1151","CO-7",2009-07-24,2009,"Weekly",653,2009.55890410959
"1158","CO-7",2009-07-28,2009,"Weekly",2564,2009.5698630137
"1159","CO-7",2009-07-29,2009,"Weekly",1558,2009.57260273973
"1161","CO-7",2009-07-30,2009,"Weekly",333,2009.57534246575
"1169","CO-7",2009-08-04,2009,"Weekly",3945,2009.58904109589
"1170","CO-7",2009-08-05,2009,"Weekly",4817,2009.59178082192
"1172","CO-7",2009-08-06,2009,"Weekly",3491,2009.59452054795
"1173","CO-7",2009-08-07,2009,"Weekly",306,2009.59726027397
"1181","CO-7",2009-08-10,2009,"Weekly",123,2009.60547945205
"1182","CO-7",2009-08-11,2009,"Weekly",6225,2009.60821917808
"1183","CO-7",2009-08-12,2009,"Weekly",1030,2009.61095890411
"1185","CO-7",2009-08-13,2009,"Weekly",600,2009.61369863014
"1186","CO-7",2009-08-14,2009,"Weekly",526,2009.61643835616
"1194","CO-7",2009-08-18,2009,"Weekly",1612,2009.62739726027
"1195","CO-7",2009-08-19,2009,"Weekly",284,2009.6301369863
"1197","CO-7",2009-08-20,2009,"Weekly",323,2009.63287671233
"1198","CO-7",2009-08-21,2009,"Weekly",395,2009.63561643836
"1206","CO-7",2009-08-25,2009,"Weekly",2334,2009.64657534247
"1207","CO-7",2009-08-26,2009,"Weekly",476,2009.64931506849
"1209","CO-7",2009-08-27,2009,"Weekly",152,2009.65205479452
"1210","CO-7",2009-08-28,2009,"Weekly",54,2009.65479452055
"1218","CO-7",2009-09-01,2009,"Weekly",472,2009.66575342466
"1219","CO-7",2009-09-02,2009,"Weekly",347,2009.66849315068
"1221","CO-7",2009-09-03,2009,"Weekly",137,2009.67123287671
"1315","CO-7",2010-05-25,2010,"Weekly",641,2010.39452054795
"1317","CO-7",2010-05-27,2010,"Weekly",330,2010.4
"1322","CO-7",2010-06-01,2010,"Weekly",1466,2010.41369863014
"1324","CO-7",2010-06-03,2010,"Weekly",285,2010.41917808219
"1326","CO-7",2010-06-04,2010,"Weekly",217,2010.42191780822
"1330","CO-7",2010-06-07,2010,"Weekly",36,2010.4301369863
"1331","CO-7",2010-06-08,2010,"Weekly",1240,2010.43287671233
"1333","CO-7",2010-06-09,2010,"Weekly",1180,2010.43561643836
"1335","CO-7",2010-06-11,2010,"Weekly",589,2010.44109589041
"1341","CO-7",2010-06-15,2010,"Weekly",262,2010.45205479452
"1343","CO-7",2010-06-16,2010,"Weekly",756,2010.45479452055
"1344","CO-7",2010-06-17,2010,"Weekly",526,2010.45753424658
